,Name,Address,City,State,Postal Code,Telephone,Overall Niche Grade,Public Schools,Crime & Safety,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute
19,Buffalo Wild Wings,83 Carothers Rd,Newport,KY,41071,(859) 261-0838,A-,B-,B,B,A,A-,B,B-,B-,B+,B+,A-,A
20,Buffalo Wild Wings,112 Magnolia Dr,Georgetown,KY,40324,(502) 867-7649,A-,B,B,A-,B,A-,B,A,B-,A-,B+,C+,A-
21,Buffalo Wild Wings,6801 Dixie Hwy Ste 159,Louisville,KY,40258,(502) 935-1997,B,B-,C-,B,A-,C+,B,B,B,A-,B+,C+,A-
22,Buffalo Wild Wings,4917 Outer Loop,Louisville,KY,40219,(502) 964-5803,B+,B-,C-,B-,A-,B,A,B-,B,A-,A-,B+,B
23,Buffalo Wild Wings,12901 Shelbyville Rd,Louisville,KY,40243,(502) 254-9464,A,B+,C-,B+,B,A-,B,A-,B-,B,A-,B+,A-
24,Buffalo Wild Wings,250 Newtowne Sq,Morehead,KY,40351,(606) 784-1299,B+,B-,B+,B,A,B,C+,B+,C+,A-,B,C+,B
25,Buffalo Wild Wings,7441 Youree Dr,Shreveport,LA,71105,(318) 797-6332,A,B-,C-,B,A,B+,B+,B,B+,B+,B+,B,B
26,Buffalo Wild Wings,375 Boardwalk Blvd,Bossier City,LA,71111,(318) 752-3801,A-,A-,C,B,A,A-,A,B,B+,B,B+,B,A-
27,Buffalo Wild Wings,1783 Martin Luther King Jr Blvd,Houma,LA,70360,(985) 868-9453,B+,B,C,B+,A-,B,A-,A,B,B+,B-,C+,A-
28,Buffalo Wild Wings,1776 West Prien Lake Road Suite E,Lake Charles,LA,70601,(337) 562-1299,B+,B,C,B-,A,B,A-,C+,A,B+,B,A-,A
29,Buffalo Wild Wings,2730 W Thomas St,Hammond,LA,70401,(985) 419-0101,B+,B-,C-,C+,A,B-,A,C,B,B,C+,B,A-
30,Buffalo Wild Wings,7524 Bluebonnet Blvd,Baton Rouge,LA,70810,(225) 819-8438,A,C,C-,B+,A,B+,A,A-,B,B,A-,B,A-
31,Buffalo Wild Wings,2711 S Macarthur Dr,Alexandria,LA,71301,(318) 880-0300,B,B,C-,C+,A,B-,A-,C-,B+,B+,B,B,A
32,Buffalo Wild Wings,3260 Highland Rd Ste 3,Baton Rouge,LA,70802,(225) 448-5770,B,C,C-,C,A,C,B,C,B,B+,B+,B,A
33,Buffalo Wild Wings,3019 Pinnacle Pkwy,Covington,LA,70433,(985) 327-0124,A,A-,B-,B,A,A-,B+,B+,B,B,A-,B+,A-
34,Buffalo Wild Wings,4415 Ambassador Caffery Pkwy Ste 700,Lafayette,LA,70508,(337) 984-7990,A,B,C,A-,A,A-,B+,A,A-,B+,A-,B+,B+
35,Buffalo Wild Wings,205 Constitution Dr,West Monroe,LA,71292,(318) 651-0080,B-,B,D+,B,B,C+,B,B-,B+,A-,C,C+,B+
36,Buffalo Wild Wings,3434 Veterans Memorial Blvd,Metairie,LA,70002,(504) 252-4606,A-,B,C+,C+,A,B+,A,B-,B,B-,B+,B,A-
37,Buffalo Wild Wings,909 S Clearview Pkwy,New Orleans,LA,70121,(504) 207-7563,B+,B+,C+,B-,A-,B-,A,C+,B,B,B+,C+,A
38,Buffalo Wild Wings,815 Brownswitch Rd,Slidell,LA,70458,(985) 639-3399,A-,B+,B-,B,A-,A-,B+,B+,B,B+,A-,B+,A-
39,Buffalo Wild Wings,4150 General Degaulle Dr,New Orleans,LA,70131,(504) 283-3256,B+,B-,D+,C+,A-,B,A,B,B,B+,B+,B+,A-
40,Buffalo Wild Wings,2800  Evangeline Trwy,Lafayette,LA,70507,(337) 504-5255,A-,C+,C,B+,A-,B+,A,A-,A-,A-,A-,B+,A-
41,Buffalo Wild Wings,2640 Airline Dr,Bossier City,LA,71111,(318) 747-7095,A-,A-,C,B,A,A-,A,B,B+,B,B+,B,A-
42,Buffalo Wild Wings,2001 W Highway 30,Gonzales,LA,70737,(225) 450-6401,A,A-,C,A-,A-,A-,A-,A,B,A-,B+,B+,A-
43,Buffalo Wild Wings,8505 Montgomery Blvd NE,Albuquerque,NM,87111,(505) 275-9464,A,A-,C-,B-,A-,A-,A,B,B+,C+,A+,A,A-
44,Buffalo Wild Wings,2750 Mall Dr Ste 600,Las Cruces,NM,88011,(575) 521-1955,A,B,B-,B-,B,B,A,B,A,C+,A,C,A-
45,Buffalo Wild Wings,10015 Coors Blvd NW,Albuquerque,NM,87114,(505) 922-9464,A,B,C-,B-,A,B+,A,B,B+,C+,A+,A-,A-
46,Buffalo Wild Wings,1700 Towne Center Ln SE,Albuquerque,NM,87106,(505) 247-9464,A,B,C-,C-,A,B,A,C,B+,C,A+,A-,A
47,Buffalo Wild Wings,1120 W Joe Harvey Blvd,Hobbs,NM,88240,(575) 391-0528,B,C,C+,B+,A-,C+,A,A,B-,B+,B,C,A-
48,Buffalo Wild Wings,6001 Iliff Rd NW,Albuquerque,NM,87121,(505) 352-9464,C+,C+,C-,C,A-,C,B,C-,B+,B-,A-,B-,A-
49,Buffalo Wild Wings,839 S White Sands Blvd,Alamogordo,NM,88310,(575) 443-9464,B+,B,B-,B+,A-,B,A,C+,B-,B,A-,B-,A-
50,Buffalo Wild Wings,747 N Main St,Roswell,NM,88201,(575) 622-9464,B+,B-,C,B,A-,B-,A,B+,B+,B,A-,C,A-
51,Buffalo Wild Wings,1901 Main St SW,Los Lunas,NM,87031,(505) 565-9464,B-,C+,C+,B-,B+,C+,A-,C+,B,B,A-,B-,B
52,Buffalo Wild Wings,1801 W Pierce St,Carlsbad,NM,88220,(575) 628-1224,B+,B-,C,A-,A-,B-,A,A,C+,B+,B+,C+,A-
53,Buffalo Wild Wings,3505 N Prince St,Clovis,NM,88101,(575) 935-0384,B,B-,C,B-,A-,C+,A,C+,B-,B,B+,D-,A-
54,Buffalo Wild Wings,3501 Zafarano Dr,Santa Fe,NM,87507,(505) 471-3353,B,C-,C+,C-,B,C+,A-,C,B+,C+,A+,B,A-
55,Buffalo Wild Wings,2700 E Main St,Farmington,NM,87402,(505) 326-5544,B,B+,C+,B,B,B,NG,B,C-,B-,B,B+,A-
56,Buffalo Wild Wings,900 State Road 436,Casselberry,FL,32707,(407) 671-9300,A,B+,C+,B,A,B+,A,B-,A,B,A,A-,A-
57,Buffalo Wild Wings,12511 State Road 535,Orlando,FL,32836,(407) 827-0444,A,A-,C,C,A,A-,A+,B+,A,C,A-,A-,A
58,Buffalo Wild Wings,7004 International Dr,Orlando,FL,32819,(407) 351-6200,A,B+,C,B-,A,A-,A,B,A,C+,A,A-,A
59,Buffalo Wild Wings,3099 Formosa Gardens Blvd,Kissimmee,FL,34747,(407) 397-1500,A,B,C+,C,A,B+,A,A-,A,C+,A-,B+,A-
60,Buffalo Wild Wings,9550 Baymeadows Rd,Jacksonville,FL,32256,(904) 448-1293,A,B-,C,C,A,B,A,B,A-,B-,A-,B,A-
61,Buffalo Wild Wings,13230 City Station Dr,Jacksonville,FL,32218,(904) 757-5777,B,C-,C,C+,A,C+,A,B-,A-,B,A-,B,A-
62,Buffalo Wild Wings,5701 Sunset Dr,South Miami,FL,33143,(305) 668-0911,A,B,C,C,A,A-,A,B,A+,C,A+,A-,A
63,Buffalo Wild Wings,2479 W International Speedway Blvd,Daytona Beach,FL,32114,(386) 872-3300,B+,B-,C,C-,A,B-,A-,C,A+,B,B+,A-,A
64,Buffalo Wild Wings,4325 Norfolk Pkwy,Melbourne,FL,32904,(321) 951-2138,A,A,C,B+,A,A-,B,B,A+,B,A-,A-,A-
65,Buffalo Wild Wings,11400 University Blvd,Orlando,FL,32817,(407) 250-4880,A,B+,C,B-,A,B+,A,B,A+,B-,A,A,A-
66,Buffalo Wild Wings,504 N Alafaya Trl Ste 102,Orlando,FL,32828,(407) 737-8880,A,A-,C,B,B+,A,A+,B+,A+,B-,A,A-,A-
67,Buffalo Wild Wings,2837 S State Road 7,Wellington,FL,33414,(561) 383-8527,A,A-,C,B-,A-,A,A,B+,A,C+,A,A,A-
68,Buffalo Wild Wings,11401 NW 12th St,Miami,FL,33172,(305) 513-2660,B+,B-,C,C+,A,B,B-,B-,A,B-,A,A,A-
69,Buffalo Wild Wings,10761 International Dr,Orlando,FL,32821,(407) 985-3400,A,B+,C,B-,A,B,A,B,A+,B-,B,B+,A
70,Buffalo Wild Wings,5840 Wiles Rd,Coral Springs,FL,33067,(954) 255-6744,A,B,C+,C+,A-,A,A,B,A,C,A,A-,B
71,Buffalo Wild Wings,4058 Tampa Rd,Oldsmar,FL,34677,(813) 814-9900,A,B+,C,B,A,A-,A-,B,A,B,A,A-,A-
72,Buffalo Wild Wings,21688 Us Highway 19 N,Clearwater,FL,33765,(727) 723-9100,A-,B-,C,C+,A,B,A-,B-,A,B,A,A-,A
73,Buffalo Wild Wings,13402 Boyette Rd,Riverview,FL,33569,(813) 655-4555,A-,B+,C,B,A-,B+,A,B+,A,B-,B+,B+,A-
74,Buffalo Wild Wings,701 Pier Park Dr Ste 100,Panama City Beach,FL,32413,(850) 236-0325,B+,B,C,B,A-,B,B,B,A-,B,B+,B-,A-
75,Buffalo Wild Wings,10607 Big Bend Rd,Riverview,FL,33579,(813) 234-9464,A-,B,C,B+,B,A-,A,B+,A,B-,A-,B+,B+
76,Buffalo Wild Wings,10936 State Road 54,New Port Richey,FL,34655,(727) 372-2323,A-,B+,C,B,B+,B+,B,A-,A,B,A-,A-,A-
77,Buffalo Wild Wings,4067 Clark Rd,Sarasota,FL,34233,(941) 922-5554,A,A+,B-,B+,A-,A,B,B,A,B-,A+,A,A-
78,Buffalo Wild Wings,5153 Bayou Blvd,Pensacola,FL,32503,(850) 471-2989,A,B-,C,B,A,B+,A,B,B,B+,A-,A-,A
79,Buffalo Wild Wings,2055 Badlands Dr,Brandon,FL,33511,(813) 571-1045,A,B,C,B-,A,B+,A+,B+,A,B,A,A-,A-
80,Buffalo Wild Wings,2465 S Highway 27,Clermont,FL,34711,(352) 536-2500,A-,B,B-,B,A-,A-,A,B,A,B,A-,A-,B-
81,Buffalo Wild Wings,9390 Dynasty Dr Ste 101,Fort Myers,FL,33905,(239) 210-9464,A-,B-,C+,B,A-,B+,A,B+,A+,B+,B,A,A-
82,Buffalo Wild Wings,3750 Us Highway 98 N,Lakeland,FL,33809,(863) 853-7722,B,C+,C+,B,A-,B-,A-,B-,A,B+,B,B-,C+
83,Buffalo Wild Wings,1940 Wells Rd,Orange Park,FL,32073,(904) 215-4969,A,A-,C,B,A,A-,A,B,A-,B+,A-,A-,A-
84,Buffalo Wild Wings,5235 University Pkwy,University Park,FL,34201,(941) 351-8584,A-,B+,C,B-,B-,B,C+,A,A,C+,A-,B+,C+
85,Buffalo Wild Wings,10500 Ulmerton Rd,Largo,FL,33771,(727) 584-9453,A-,B-,C,B-,A,B,B+,B-,A,B+,A,A-,A
86,Buffalo Wild Wings,703 Poquonock Ave,Windsor,CT,06095,(860) 688-9464,A,B+,B-,B-,A-,A-,A,B-,C+,B-,A,A-,A-
87,Buffalo Wild Wings,1201 Boston Post Rd,Milford,CT,06460,(203) 877-9453,A-,B+,B-,C+,A,B+,B,B-,B,C,A,A,A-
88,Buffalo Wild Wings,26 Backus Ave,Danbury,CT,06810,(203) 794-9453,B+,B-,B-,D+,A,B,A+,C-,C+,C-,A,A,A-
89,Buffalo Wild Wings,350 Universal Dr N,North Haven,CT,06473,(203) 234-9453,A-,B+,B-,B-,A-,A-,B,B,C+,C+,A,A,A-
90,Buffalo Wild Wings,850 Hartford Tpke Ste F218,Waterford,CT,06385,(860) 574-9155,A-,B+,B-,B-,A-,A-,B,B-,B,C+,A-,A,B
91,Buffalo Wild Wings,112 Buckland St,Manchester,CT,06042,(860) 649-9464,A-,B-,B-,B-,B+,A-,A,B-,C+,C+,A,A,A-
92,Buffalo Wild Wings,315 Union St,Waterbury,CT,06706,(203) 574-9464,C+,C-,B-,D-,A,C,A,C-,C+,C,A-,A,B+
93,Buffalo Wild Wings,716 Queen St,Southington,CT,06489,(860) 863-5144,B+,B+,B-,B-,B,A-,B-,B+,C+,B-,A,A-,B
94,Buffalo Wild Wings,208 Summer St,Stamford,CT,06901,(203) 324-9453,A,B,B-,C,A+,A-,A+,C+,C+,C-,A,A,B+
95,Buffalo Wild Wings,1267 Silas Deane Hwy,Wethersfield,CT,06109,(860) 571-9464,A-,B,B-,B-,A-,A-,B+,B,C+,C+,A,A,A-
96,Buffalo Wild Wings,74-76 Church St,New Haven,CT,06510,(203) 789-9453,A,C-,B-,D-,A+,B-,A+,B-,C+,D+,A-,A,A+
97,Buffalo Wild Wings,7188 Airways Blvd,Southaven,MS,38671,(662) 349-7776,B+,B+,B,B+,A,B+,A,B+,B+,B+,B,C+,B-
98,Buffalo Wild Wings,3 Churchill St,Hattiesburg,MS,39402,(601) 288-7777,A,A-,NG,A-,A-,A,A-,B,B+,B+,B+,C+,B
99,Buffalo Wild Wings,3850 Promenade Pkwy,Diberville,MS,39540,(228) 396-9464,B+,B+,C,B-,A,B+,A,B-,A-,B+,B,B,C+
100,Buffalo Wild Wings,114 Highway 11 And 80,Meridian,MS,39301,(601) 282-5363,B,B,C-,B,A,B-,A-,C+,B+,A-,B,C+,B
101,Buffalo Wild Wings,703 Spring St,Starkville,MS,39759,(662) 324-4494,A-,B,B-,C+,B,B,A,C,B+,B,B+,C+,A-
102,Buffalo Wild Wings,3485 Tupelo Cmns,Tupelo,MS,38804,(662) 840-0468,A,B+,NG,B+,A,A,A-,B,B+,B+,B,B,B
103,Buffalo Wild Wings,2315 Jackson Ave W,Oxford,MS,38655,(662) 238-2716,A,A-,B-,B-,A,A-,A-,B+,B,B,B,B+,A-
104,Buffalo Wild Wings,2001 Highway 45 N,Columbus,MS,39705,(662) 245-1171,A-,B-,NG,B+,B,A-,A,B-,B+,B+,B,B-,B-
105,Buffalo Wild Wings,1826 Jefferson St,Laurel,MS,39440,(601) 342-2951,B,C,C,C+,A,B,A-,C,A-,A-,C+,B,B
106,Buffalo Wild Wings,15530 Daniel Blvd,Gulfport,MS,39503,(228) 236-9464,B+,B+,C,B,A,B,A,C+,B+,B+,B,B-,B
107,Buffalo Wild Wings,766 Mackenzie Ln,Flowood,MS,39232,(769) 572-3242,A,B+,B+,B,B+,A,A,A-,B+,B,B+,B,C+
108,Buffalo Wild Wings,7995 Craft Goodman Rd,Olive Branch,MS,38654,(662) 890-7285,A-,A-,B,A-,A-,A-,A-,A-,B+,B+,B,C+,B
109,Buffalo Wild Wings,808 Lake Harbour Dr,Ridgeland,MS,39157,(601) 856-0789,A+,A,B,A-,A,A+,A,A,B+,B,A-,B,B
110,Buffalo Wild Wings,205 S Highway 92,Sierra Vista,AZ,85635,(520) 515-9464,B+,B,B-,B-,A,B-,A,C+,B,B-,A,C+,A-
111,Buffalo Wild Wings,2040 Highway 95,Bullhead City,AZ,86442,(928) 763-9464,B-,C+,B-,B-,A-,C,B+,C+,C,B,B+,C,A-
112,Buffalo Wild Wings,6560 E Superstition Springs Blvd,Mesa,AZ,85206,(480) 214-9464,A-,B+,C+,B-,A,B,A-,B,A,C+,A+,B+,A-
113,Buffalo Wild Wings,1390 W Irvington Rd,Tucson,AZ,85746,(520) 799-9464,B-,C,C,C+,A-,C,A-,C,A,B-,A,B-,A-
114,Buffalo Wild Wings,13311 W Mcdowell Rd,Goodyear,AZ,85395,(623) 935-4081,A-,A-,C+,B,B,B+,A,A-,A-,C+,A,B+,B-
115,Buffalo Wild Wings,3163 W Chandler Blvd Ste 1,Chandler,AZ,85226,(480) 289-5200,A,A,C+,B+,A,A-,A,A-,A,B-,A,C+,A-
116,Buffalo Wild Wings,2700 S Woodlands Village Blvd Ste 550,Flagstaff,AZ,86001,(928) 774-3550,A,B+,B-,C,A,B,NG,C+,B,C-,A,B+,A
117,Buffalo Wild Wings,2510 W Happy Valley Rd Ste 1241,Phoenix,AZ,85085,(623) 207-6900,A-,B,C+,B-,B,B+,A-,B+,A,C,A,B+,A-
118,Buffalo Wild Wings,705 S Rural Rd,Tempe,AZ,85281,(480) 858-9464,A,A-,C+,C-,A+,B,A,C+,A,C,A,A-,A
119,Buffalo Wild Wings,4329 N Oracle Rd,Tucson,AZ,85705,(520) 888-3184,B+,B,C,C,A,B-,A-,C-,A,B,A+,A-,A
120,Buffalo Wild Wings,1475 W Elliot Rd,Gilbert,AZ,85233,(480) 813-9464,A,A,C+,B+,A,A,A,B+,A,B-,A,A-,A-
121,Buffalo Wild Wings,2700 W North Ln,Phoenix,AZ,85051,(602) 944-4260,B+,B-,C+,C+,A,B-,A,C+,A,B-,A,B+,A
122,Buffalo Wild Wings,8870 E Talking Stick Way,Scottsdale,AZ,85250,(480) 278-8791,A,A-,C+,B,A-,B+,B,B,A,C,A+,B+,A-
123,Buffalo Wild Wings,9404 W Westgate Blvd Ste C107,Glendale,AZ,85305,(623) 877-9127,A-,B-,C+,B-,A,B,A,B,A,B-,B+,B+,A-
124,Buffalo Wild Wings,7401 E Frank Lloyd Wright Blvd,Scottsdale,AZ,85260,(480) 991-0477,A,A,C+,B-,B,A-,B,B+,A,C,A+,B+,A-
125,Buffalo Wild Wings,21374 S Ellsworth Loop Rd,Queen Creek,AZ,85142,(480) 987-1395,A-,B,B-,B,B+,B+,A-,B+,A,C+,A-,B,B+
126,Buffalo Wild Wings,859 N Promenade Pkwy,Casa Grande,AZ,85194,(520) 836-9464,B,C,B-,C+,B+,C,A,B,A-,B-,B-,C+,A-
127,Buffalo Wild Wings,2985 N Centre Ct,Prescott Valley,AZ,86314,(928) 759-9800,B,B-,B-,C,A-,B-,A-,B-,B-,C+,A,B+,A-
128,Buffalo Wild Wings,68 N Harrison Rd,Tucson,AZ,85748,(520) 296-8409,A-,A-,C,B,B-,B+,A-,B,A,C+,A,B+,A-
129,Buffalo Wild Wings,1317 S Yuma Palms Pkwy,Yuma,AZ,85365,(928) 373-2300,B,C,B,B-,A-,C+,A,B-,A,B-,B+,C-,A-
130,Buffalo Wild Wings,970 S Gilbert Rd,Gilbert,AZ,85296,(480) 632-9464,A,A,C+,B+,A,A,A-,B+,A,C+,A,A-,A-
131,Buffalo Wild Wings,13882 W Bell Rd,Surprise,AZ,85374,(623) 546-7672,B+,C+,C+,C+,A-,B-,A-,B,A,C+,A,B+,A-
132,Buffalo Wild Wings,5405 Pearl Dr,Evansville,IN,47712,(812) 423-9464,B+,B,C,B+,A,B-,C+,B,B,A-,B,C+,A-
133,Buffalo Wild Wings,8440 Castleton Corner Dr,Indianapolis,IN,46250,(317) 577-2999,A+,A-,C-,B+,A,A,A-,B+,B-,B+,A-,B,A-
134,Buffalo Wild Wings,2510 E 146th St,Carmel,IN,46033,(317) 848-2500,A+,A+,A,A+,A-,A+,B-,A+,B-,B+,A,B+,A-
135,Buffalo Wild Wings,1071 Smaltz Way,Auburn,IN,46706,(260) 925-2003,A-,B,B+,A-,A-,B+,C+,A-,B,A,B+,C+,B+
136,Buffalo Wild Wings,360 Brown St,West Lafayette,IN,47906,(765) 743-1188,A+,A-,C+,B-,A,A,B+,B,B-,B,A-,B+,A
137,Buffalo Wild Wings,715 N Green River Rd,Evansville,IN,47715,(812) 471-9464,A-,B-,C,B-,A,B+,B,B-,B,B+,B+,B+,B
138,Buffalo Wild Wings,3718 S Us Highway 41,Terre Haute,IN,47802,(812) 242-9464,B+,B,C+,B,A-,B,B+,B-,B-,A-,B+,C+,A-
139,Buffalo Wild Wings,2035 W Jonathan Moore Pike,Columbus,IN,47201,(812) 375-1770,A,A-,B+,A-,A-,A,B+,B+,B-,A-,B+,B+,A-
140,Buffalo Wild Wings,2515 Southlake Mall,Merrillville,IN,46410,(219) 794-9453,A-,B,C,B,A,B+,A+,B-,B-,B+,B+,B+,A-
141,Buffalo Wild Wings,1350 W Bloomfield Rd,Bloomington,IN,47403,(812) 339-2900,A,A-,B-,B+,A-,A,B,B-,B-,A-,A,A-,A
142,Buffalo Wild Wings,1200 Us Highway 41,Schererville,IN,46375,(219) 865-3222,A,A,C,B+,A-,A-,B+,B+,B-,B+,B+,A-,A-
143,Buffalo Wild Wings,4661 National Rd E,Richmond,IN,47374,(765) 935-9999,A-,B,A,B+,A-,A,B,B-,B-,A-,B+,A-,A-
144,Buffalo Wild Wings,7 E Washington St,Indianapolis,IN,46204,(317) 951-9464,A-,C-,C-,D+,A+,C,A,C+,B,C+,A-,A-,A
145,Buffalo Wild Wings,9875 E Us Highway 36,Avon,IN,46123,(317) 271-9464,A,A,B,A,A-,A+,B,A,B-,B+,B+,B+,C
146,Buffalo Wild Wings,2407 N 6th St,Vincennes,IN,47591,(812) 895-9464,B+,B,B-,B+,A,B,B-,B,B,A,B,C+,A-
147,Buffalo Wild Wings,5000 Franklin St,Michigan City,IN,46360,(219) 872-9464,B+,C+,C+,B-,A,B+,A-,C,C+,A-,B+,A-,A-
148,Buffalo Wild Wings,212 Lincolnway,Valparaiso,IN,46383,(219) 548-9464,A,A-,A-,A-,A,A+,B,B+,B-,B+,A-,A-,A
149,Buffalo Wild Wings,1425 W Dupont Rd,Fort Wayne,IN,46825,(260) 490-6556,A-,C,C,B+,A,B,B+,B+,B,A-,A,C+,A-
150,Buffalo Wild Wings,13977 Trade Center Dr,Fishers,IN,46038,(317) 770-2999,A+,A+,A,A+,A-,A+,B,A+,B-,A-,A,B+,B+
151,Buffalo Wild Wings,13868 E 116th St,Fishers,IN,46037,(317) 913-2999,A+,A+,A,A+,A-,A+,B,A+,B-,B+,A,B+,B
152,Buffalo Wild Wings,1600 E Summit St,Crown Point,IN,46307,(219) 663-9453,A-,A-,C,B+,A-,A-,B,B,B-,B+,B,A-,A-
153,Buffalo Wild Wings,10202 E Washington St Ste 790,Indianapolis,IN,46229,(317) 895-9464,B+,B,C-,B,A,B,A,B-,B-,A-,B,B,B
154,Buffalo Wild Wings,202 E Harcourt Rd,Angola,IN,46703,(260) 624-3111,A-,B,A,B+,A,A,B-,B+,B-,A-,B,B+,A-
155,Buffalo Wild Wings,1129 N Baldwin Ave Ste 35,Marion,IN,46952,(765) 673-0757,B,B-,C+,B,A-,C+,B,B+,B,A,B,D+,B+
156,Buffalo Wild Wings,2008 E Tipton St,Seymour,IN,47274,(812) 519-3596,B+,B-,B-,B+,A-,B,B,B,B-,A,B,B-,A-
157,Buffalo Wild Wings,838 E Mcgalliard Rd,Muncie,IN,47303,(765) 284-9464,B+,B-,C,B-,A,C+,B,C+,B,A-,B+,C,A
158,Buffalo Wild Wings,1780 E Boulevard,Kokomo,IN,46902,(765) 450-4404,B+,C+,C,B+,A-,B,B,B,C+,A,B,B,A-
159,Buffalo Wild Wings,1829 Rieth Blvd,Goshen,IN,46526,(574) 875-9299,A-,B+,C-,B+,A-,B+,A-,A-,B,A-,B+,B-,A
160,Buffalo Wild Wings,1551 N Green St Ste Q,Brownsburg,IN,46112,(317) 456-4982,A,A+,B,A,A-,A+,B-,A,B-,A-,B+,B+,C+
161,Buffalo Wild Wings,376 Enterprise Dr,Warsaw,IN,46580,(574) 267-7707,A-,B+,B-,A-,A-,B+,B,B+,B,A,A-,B-,A-
162,Buffalo Wild Wings,5500 Tinker Diagonal,Oklahoma City,OK,73115,(405) 677-9464,B+,B-,C,B,A-,B-,A,B+,A-,A-,A-,C+,A-
163,Buffalo Wild Wings,2506 NW Cache Rd,Lawton,OK,73505,(580) 357-9464,B,B,C,B,A,C+,NG,B-,B+,B+,B+,D,A-
164,Buffalo Wild Wings,4901 N Kickapoo Ave Ste 6705,Shawnee,OK,74804,(405) 273-3473,A-,B+,C,B+,A-,B+,NG,B,A-,A-,B+,B-,A-
165,Buffalo Wild Wings,6910 SW 3rd St,Oklahoma City,OK,73128,(405) 603-4688,B-,B-,C,B+,A,B-,A-,A-,A-,B+,C+,C,C-
166,Buffalo Wild Wings,3010 Classen Blvd,Norman,OK,73071,(405) 701-8254,A,A,B-,B+,B+,A,A-,A-,A-,B+,A-,C+,A-
167,Buffalo Wild Wings,4130 NW Expressway Ste 110,Oklahoma City,OK,73116,(405) 842-9464,A+,B,C,B+,A,A-,A-,A,A-,B,A-,C+,B+
168,Buffalo Wild Wings,1765 Shedeck Pkwy,Yukon,OK,73099,(405) 265-1944,A,A-,B+,A-,A-,B+,B+,A,A-,B+,B+,C-,B+
